product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,has_narrative,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,33060,,False,9999997,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-03T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,33060,,False,9999996,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,FL,N/A,,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,89014,,False,9999995,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,NV,N/A,,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,99224,,False,9999994,Yes,Consent not provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,WA,N/A,,Credit inquiries on your report that you don't recognize
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,30349,,False,9999989,Yes,Consent not provided,Closed with explanation,Web,Lendmark Financial Services,2024-09-03T12:00:00-05:00,GA,N/A,,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,70805,,False,9999988,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,LA,N/A,,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,44117,,False,9999986,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,OH,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Credit inquiries on your report that you don't recognize
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,76123,,False,9999985,Yes,,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,TX,N/A,,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,11368,,False,9999984,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-03T12:00:00-05:00,NY,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit card,"Chae bank called me about a fraudulent case application. They gave me a case number XXXX, tranferred me CFPB. During the call, long silent when agent said is looking at the report, then cut off. No call back was done.",2024-09-03T12:00:00-05:00,Getting a credit card,General-purpose credit card or charge card,01923,,True,9999983,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2024-09-03T12:00:00-05:00,MA,N/A,,Card opened without my consent or knowledge
Credit reporting or other personal consumer reports,"The inclusion of these unauthorized accounts and inquiries has caused considerable stress and concern regarding my financial well-being. It is imperative that my credit report accurately reflects my financial history and activities. Therefore, I request an immediate investigation into these inaccuracies and the prompt removal of the following unauthorized accounts and inquiries : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,77064,,True,9999982,Yes,Consent provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,TX,N/A,,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,30331,,False,9999981,Yes,Consent not provided,Closed with explanation,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-03T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account information incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,33138,,False,9999980,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,07202,,False,9999979,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,NJ,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,30349,,False,9999978,No,Consent not provided,Closed with explanation,Web,"Spring Oaks Capital, LLC",2024-09-03T12:00:00-05:00,GA,N/A,,Information belongs to someone else
